150 1.000000000000000000e+00 1.000000000000000000e+00
17 1 -7.167974258149418354e+00 -3.375693455622571548e+01
18 1 -8.336101649216381304e+00 -9.774154484600080295e+00
19 1 -7.165499712912128949e+00 -1.022478062837885204e+01
20 1 -4.712642056665350410e+00 3.146529609976726505e+01
21 1 -7.736768342615806482e+00 1.673574741567655622e+01
22 1 8.338743314482666591e+00 7.550267233472259143e+00
23 1 -7.521860203930057942e+00 2.291102090898617938e-01
24 1 4.133791021016792300e+00 -1.903081395432916167e+01
25 1 -5.152248229773522148e+00 5.100676665768105522e+00
26 1 3.115550111781982601e+00 -7.339011145390470503e+00
27 1 -5.564077482998170954e-01 2.141819707708040710e+01
28 1 3.049843715934373645e+00 3.571124421247925396e-01
29 1 8.596821465967117160e-01 4.642608051057127483e+00
30 1 -5.651633083248847278e+00 -6.751317203875104589e+00
31 1 1.552243646549467559e+00 -6.881091142881675005e+00
32 1 -3.821989033292187532e+00 4.183218571462138158e+00
33 1 2.445355047101946511e+00 -2.992887066123241624e+00
34 1 -3.307174982403301655e+00 1.046689996933423927e+01
35 1 -2.743438465194823372e+00 -8.376632383922142822e+00
36 1 9.140452881045972866e-01 8.580485406807333959e+00
37 1 -4.402703849420519511e-02 -4.548367929875593241e+00
38 1 4.816522805824014597e+00 3.920717541976326714e+00
39 1 -4.107618525342062732e+00 -1.957284820508447210e+00
40 1 8.035508683166218802e+00 9.234541923176633471e-01
41 1 -6.520140690714846698e+00 -1.000387835275062809e+00
42 1 5.198054608795226628e+00 -4.097809898360059044e+00
43 1 -6.386931363105258441e+00 3.984930962099182405e-01
44 1 6.857982448535804743e+00 -3.358131511991441442e+00
45 1 -8.669365500222054877e-01 -2.062710253965050367e+00
46 1 4.267324365701432143e+00 -1.973204424679076530e+00
47 1 -2.069769881055174121e+00 -1.424237105754199706e-01
48 1 9.450463687300294513e-01 4.423361516865281118e+00
49 1 6.365254123464088032e-01 3.064717588823280270e-01
50 1 -2.692831601488240301e-01 1.110763019875316004e+00
51 1 3.346971523356917499e-01 -4.990543666941205103e+00
52 1 -1.062936489266085305e+00 -4.522644802952634713e+00
53 1 2.212253532132273826e+00 -2.526551467713085586e+00
54 1 -4.478582672461900449e-01 5.396301870517003607e+00
55 1 -5.489936433318164388e-01 6.621168552593685419e+00
56 1 -6.575040404040961572e-01 6.392554824561575977e-01
57 1 -2.571940233492809202e+00 -9.660403608080245785e-01
58 1 -8.315785698724232899e-01 -4.542284385102171917e+00
59 1 -7.798468833581191362e-01 -2.463113556514763491e+00
60 1 3.752454523368371930e+00 8.463329839392755849e-01
61 1 -4.853227462457287977e-01 2.211528628441099542e+00
62 1 2.121820000452789845e+00 3.681247335974341617e+00
63 1 -3.542239005514498107e-01 -2.115983457504152732e+00
64 1 1.942632526029493878e+00 6.852487646094068685e-01
65 1 -2.089231784647872736e+00 -3.112235257553437773e+00
66 1 1.825951593246683824e-01 1.892956690485382065e+00
67 1 -1.537304544046028010e+00 2.678405768268835585e-01
68 1 -4.749446903154950217e-01 2.324868647047221015e-01
69 1 -1.053930712579707496e+00 -2.051812906605911202e+00
70 1 -5.553616007832120616e-01 -2.120040145068444293e+00
71 1 2.605546254398156680e-01 1.813260115426381880e+00
72 1 -4.316954879281552082e-01 -8.182168854613143250e-01
73 1 1.233518379666546316e+00 1.066365759547243774e+00
74 1 -5.990513821301275410e-01 -1.857702484373289664e+00
75 1 4.920500046352709322e-01 4.494401572110482967e-01
76 1 -1.717264082028002292e+00 -2.511478085953331232e-02
77 1 1.302675473032189224e+00 1.502015194307052326e+00
78 1 -4.384989645661907520e-01 2.893915848590728590e+00
79 1 7.484928223024567284e-01 1.072754444273253949e+00
80 1 -4.610276827149508705e-01 1.592292949703768112e+00
81 1 1.195228512182656688e-01 -1.381072458066167519e+00
82 1 -3.045163604369715005e-01 -7.022610398392656883e-01
83 1 7.100641959295505012e-01 -1.583081045987850155e+00
84 1 7.495557619910071523e-01 6.806986530533788438e-01
85 1 -8.694527222299652802e-02 2.117822477156751759e+00
86 1 8.828067133402905942e-01 -6.290312505011483313e-02
87 1 7.888064663647593733e-01 5.958942618594373908e-01
88 1 -1.025266273183178090e+00 -1.798175001294699316e+00
89 1 -1.522904840434392781e+00 6.721409820251860179e-01
90 1 -1.309129940339166742e+00 -2.250705393196100079e+00
91 1 -1.719630670864433775e-01 -4.635187409769025435e-01
92 1 -8.047852316653416604e-01 -1.116070384695261042e-01
93 1 1.018088927580113268e+00 1.283675565856140066e+00
94 1 2.832694171919413750e-01 1.380800015156019134e+00
95 1 1.228108642914910620e+00 1.775307980728947355e-01
96 1 3.836169010420471537e-01 8.861861457660171748e-01
97 1 9.631041483640943035e-01 -2.025989434179968463e+00
98 1 -1.542332360391179824e-01 -1.430088490675491153e+00
99 1 -5.897472134169572389e-01 -1.185528877418081661e+00
100 1 9.963799222990472604e-01 5.370259226482361203e-01
101 1 8.962157665536585327e-01 1.592632629116868204e+00
102 1 -4.341531729487451557e-02 9.648712452831822439e-01
103 1 -1.160030467659436848e+00 -1.616180500700408473e-01
104 1 -1.081040570939233447e+00 -3.388050468188622322e+00
105 1 -1.180026822915269058e+00 -1.259164532548160409e+00
106 1 -8.866989272002937517e-01 -4.001082934405473246e-01
107 1 -8.135508118251333354e-02 1.910586360449585852e+00
108 1 3.891151082234635683e-01 1.236964817936913263e+00
109 1 6.726635337811055493e-01 1.412980027315077214e+00
110 1 5.146054340726511356e-01 -4.132511002970060687e-01
111 1 3.705298921884070396e-01 -9.605009970218136850e-01
112 1 6.402944066591541306e-02 -1.132253810968462809e-01
113 1 -6.256506714057311624e-01 -3.300395790541603702e-01
114 1 6.005489144554214676e-01 1.038018513793901754e+00
115 1 -9.469422336187416356e-03 2.826915732555295158e-01
116 1 1.014168403450603329e+00 2.477199025871326399e-01
117 1 -4.598569103965141069e-01 -3.487714033307410810e-01
118 1 3.924067687752427758e-01 -6.001984445571332261e-01
119 1 -9.241404586426205103e-01 -9.377765263976415300e-01
120 1 -7.176173810426764721e-01 2.172282450962526312e-01
